Date,Company
2023-01-19,0
2023-01-19,1
2023-01-19,2
2023-01-18,0
2023-01-18,1
2023-01-18,2
2023-01-17,0
2023-01-17,2
2023-01-17,1
2023-01-16,1
2023-01-16,0
2023-01-16,2
2023-01-15,2
2023-01-15,1
2023-01-15,0
2023-01-14,0
2023-01-14,2
2023-01-14,1
2023-01-13,0
2023-01-13,2
2023-01-13,1
2023-01-12,0
2023-01-12,2
2023-01-12,1
2023-01-11,1
2023-01-11,2
2023-01-11,0
2023-01-10,1
2023-01-10,2
2023-01-10,0
2023-01-09,1
2023-01-09,2
2023-01-09,0
2023-01-08,2
2023-01-08,1
2023-01-08,0
2023-01-07,1
2023-01-07,0
2023-01-07,2
2023-01-06,2
2023-01-06,0
2023-01-06,1
2023-01-05,0
2023-01-05,1
2023-01-05,2
