"Date","Company","Sales"
"2023-01-04","2","384775.19573260576"
"2023-01-04","1","60815.1935323594"
"2023-01-04","0","36221.562895331052"
"2023-01-03","1","65686.41537625331"
"2023-01-03","2","411655.23027687467"
"2023-01-03","0","21427.596633599474"
"2023-01-02","1","56328.262888517063"
"2023-01-02","0","25700.297709190865"
"2023-01-02","2","369621.7362480805"
"2023-01-01","1","19402.281547859238"
"2023-01-01","2","311226.80111615633"
"2022-12-31","2","142088.44787151137"
"2022-12-31","0","19819.921431904688"
"2022-12-30","0","45546.8822735212"
"2022-12-30","2","613877.20292401465"
"2022-12-30","1","57734.6082319492"
"2022-12-29","1","46786.182836603286"
"2022-12-29","2","541390.78736991645"
"2022-12-29","0","52598.674851328309"
"2022-12-28","0","51524.451703200284"
"2022-12-28","1","61022.067882947122"
"2022-12-28","2","514042.21621866041"
"2022-12-27","0","42047.541225425957"
"2022-12-27","2","534491.09329618129"
"2022-12-27","1","46801.330466843967"
"2022-12-26","2","402323.21432813449"
"2022-12-26","1","104291.265743499"
"2022-12-25","2","168132.15160510613"
"2022-12-25","0","25561.777871803362"
"2022-12-25","1","53705.007843494"
"2022-12-24","2","39007.844814596407"
"2022-12-23","2","609637.18373892538"
"2022-12-23","0","37164.991058638778"
"2022-12-23","1","11644.607689867884"
"2022-12-22","0","46770.126637721172"
"2022-12-22","2","622298.37453458179"
"2022-12-22","1","49545.256450536916"
"2022-12-21","0","58961.255724413946"
"2022-12-21","1","22493.449002583475"
"2022-12-21","2","555917.91040318774"
"2022-12-20","0","36128.3356172561"
"2022-12-20","2","456174.64309442654"
"2022-12-20","1","22066.675367781449"
"2022-12-19","2","370093.64320975344"
"2022-12-19","1","22579.873736682373"
"2022-12-19","0","20867.911495163942"
"2022-12-18","0","4084.85111823322"
"2022-12-18","2","383585.01802479627"
"2022-12-18","1","67682.099802733879"
"2022-12-17","0","80486.114602421774"
"2022-12-17","2","592311.14215899887"
"2022-12-17","1","151625.14093213566"
"2022-12-16","2","683895.25406275457"
"2022-12-16","1","142779.01684170414"
"2022-12-16","0","95366.230562846773"
"2022-12-15","0","65695.6082113248"
"2022-12-15","2","465709.91327902291"
"2022-12-15","1","79766.782877092352"
"2022-12-14","0","33571.158014704073"
"2022-12-14","1","83159.387655600687"
"2022-12-14","2","435613.7516475626"
"2022-12-13","1","65148.046556644855"
"2022-12-13","2","360675.01991276728"
"2022-12-12","1","11370.008082015433"
"2022-12-12","2","315430.72301888431"
"2022-12-12","0","17824.510507518989"
"2022-12-11","1","13915.715077250627"
"2022-12-11","0","13419.831019563346"
"2022-12-11","2","394901.34379909711"
"2022-12-10","2","638397.6723726528"
"2022-12-10","1","151965.67234322819"
"2022-12-10","0","86785.686670744821"
"2022-12-09","2","673521.143486229"
"2022-12-09","0","113741.24503710563"
"2022-12-09","1","177541.90031625621"
"2022-12-08","2","450749.50584327918"
"2022-12-08","1","50916.275746422158"
"2022-12-08","0","59161.759936593284"
"2022-12-07","2","399589.78473343741"
"2022-12-07","1","56280.895251291142"
"2022-12-07","0","27025.012545507114"
